tumorgroup;golive;modified;version;order;id;validvalue;AJCCcriteria
Prostate;22.12.2021;01.02.2021;08.04.2012;1;TX;cTX;Primary tumor cannot be assessed
Prostate;22.12.2021;01.02.2021;08.04.2012;2;T0;cT0;No evidence of primary tumor
Prostate;22.12.2021;01.02.2021;08.04.2012;3;T1;cT1;Clinically inapparent tumor that is not palpable
Prostate;22.12.2021;01.02.2021;08.04.2012;4;T1a;cT1a;Tumor incidental histologic finding in 5 percent or less of tissue resected
Prostate;22.12.2021;01.02.2021;08.04.2012;5;T1b;cT1b;Tumor incidental histologic finding in more than 5 percent of tissue resected
Prostate;22.12.2021;01.02.2021;08.04.2012;6;T1c;cT1c;Tumor identified by needle biopsy found in one or both sides, but not palpable
Prostate;22.12.2021;01.02.2021;08.04.2012;7;T2;cT2;Tumor is palpable and confined within prostate
Prostate;22.12.2021;01.02.2021;08.04.2012;8;T2a;cT2a;Tumor involves one-half of one side or less
Prostate;22.12.2021;01.02.2021;08.04.2012;9;T2b;cT2b;Tumor involves more than one-half of one side but not both sides
Prostate;22.12.2021;01.02.2021;08.04.2012;10;T2c;cT2c;Tumor involves both sides
Prostate;22.12.2021;01.02.2021;08.04.2012;11;T3;cT3;Extraprostatic tumor that is not fixed or does not invade adjacent structures
Prostate;22.12.2021;01.02.2021;08.04.2012;12;T3a;cT3a;Extraprostatic extension (unilateral or bilateral)
Prostate;22.12.2021;01.02.2021;08.04.2012;13;T3b;cT3b;Tumor invades seminal vesicle(s)
Prostate;22.12.2021;01.02.2021;08.04.2012;14;T4;cT4;Tumor is fixed or invades adjacent structures other than seminal vesicles such as external sphincter, rectum, bladder, levator muscles, and/or pelvic wall
Prostate;22.12.2021;01.02.2021;08.04.2012;1;T2;pT2;Organ confined
Prostate;22.12.2021;01.02.2021;08.04.2012;2;T3;pT3;Extraprostatic extension
Prostate;22.12.2021;01.02.2021;08.04.2012;3;T3a;pT3a;Extraprostatic extension (unilateral or bilateral) or microscopic invasion of bladder neck
Prostate;22.12.2021;01.02.2021;08.04.2012;4;T3b;pT3b;Tumor invades seminal vesicle(s)
Prostate;22.12.2021;01.02.2021;08.04.2012;5;T4;pT4;Tumor is fixed or invades adjacent structures other than seminal vesicles such as external sphincter, rectum, bladder, levator muscles, and/or pelvic wall
Prostate;22.12.2021;01.02.2021;08.04.2012;6;TX;cTX;Primary tumor cannot be assessed
Prostate;22.12.2021;01.02.2021;08.04.2012;7;T0;cT0;No evidence of primary tumor
Prostate;22.12.2021;01.02.2021;08.04.2012;8;T1;cT1;Clinically inapparent tumor that is not palpable
Prostate;22.12.2021;01.02.2021;08.04.2012;9;T1a;cT1a;Tumor incidental histologic finding in 5 percent or less of tissue resected
Prostate;22.12.2021;01.02.2021;08.04.2012;10;T1b;cT1b;Tumor incidental histologic finding in more than 5 percent of tissue resected
Prostate;22.12.2021;01.02.2021;08.04.2012;11;T1c;cT1c;Tumor identified by needle biopsy found in one or both sides, but not palpable
Prostate;22.12.2021;01.02.2021;08.04.2012;12;T2;cT2;Tumor is palpable and confined within prostate
Prostate;22.12.2021;01.02.2021;08.04.2012;13;T2a;cT2a;Tumor involves one-half of one side or less
Prostate;22.12.2021;01.02.2021;08.04.2012;14;T2b;cT2b;Tumor involves more than one-half of one side but not both sides
Prostate;22.12.2021;01.02.2021;08.04.2012;15;T2c;cT2c;Tumor involves both sides
Prostate;22.12.2021;01.02.2021;08.04.2012;16;T3;cT3;Extraprostatic tumor that is not fixed or does not invade adjacent structures
Prostate;22.12.2021;01.02.2021;08.04.2012;17;T3a;cT3a;Extraprostatic extension (unilateral or bilateral)
Prostate;22.12.2021;01.02.2021;08.04.2012;18;T3b;cT3b;Tumor invades seminal vesicle(s)
Prostate;22.12.2021;01.02.2021;08.04.2012;19;T4;cT4;Tumor is fixed or invades adjacent structures other than seminal vesicles such as external sphincter, rectum, bladder, levator muscles, and/or pelvic wall
Prostate;22.12.2021;01.02.2021;08.04.2012;1;TX;ycTX;Primary tumor cannot be assessed
Prostate;22.12.2021;01.02.2021;08.04.2012;2;T0;ycT0;No evidence of primary tumor
Prostate;22.12.2021;01.02.2021;08.04.2012;3;T1;ycT1;Clinically inapparent tumor that is not palpable
Prostate;22.12.2021;01.02.2021;08.04.2012;4;T1a;ycT1a;Tumor incidental histologic finding in 5 percent or less of tissue resected
Prostate;22.12.2021;01.02.2021;08.04.2012;5;T1b;ycT1b;Tumor incidental histologic finding in more than 5 percent of tissue resected
Prostate;22.12.2021;01.02.2021;08.04.2012;6;T1c;ycT1c;Tumor identified by needle biopsy found in one or both sides, but not palpable
Prostate;22.12.2021;01.02.2021;08.04.2012;7;T2;ycT2;Tumor is palpable and confined within prostate
Prostate;22.12.2021;01.02.2021;08.04.2012;8;T2a;ycT2a;Tumor involves one-half of one side or less
Prostate;22.12.2021;01.02.2021;08.04.2012;9;T2b;ycT2b;Tumor involves more than one-half of one side but not both sides
Prostate;22.12.2021;01.02.2021;08.04.2012;10;T2c;ycT2c;Tumor involves both sides
Prostate;22.12.2021;01.02.2021;08.04.2012;11;T3;ycT3;Extraprostatic tumor that is not fixed or does not invade adjacent structures
Prostate;22.12.2021;01.02.2021;08.04.2012;12;T3a;ycT3a;Extraprostatic extension (unilateral or bilateral)
Prostate;22.12.2021;01.02.2021;08.04.2012;13;T3b;ycT3b;Tumor invades seminal vesicle(s)
Prostate;22.12.2021;01.02.2021;08.04.2012;14;T4;ycT4;Tumor is fixed or invades adjacent structures other than seminal vesicles such as external sphincter, rectum, bladder, levator muscles, and/or pelvic wall
Prostate;22.12.2021;01.02.2021;08.04.2012;1;T2;ypT2;Organ confined
Prostate;22.12.2021;01.02.2021;08.04.2012;2;T3;ypT3;Extraprostatic extension
Prostate;22.12.2021;01.02.2021;08.04.2012;3;T3a;ypT3a;Extraprostatic extension (unilateral or bilateral) or microscopic invasion of bladder neck
Prostate;22.12.2021;01.02.2021;08.04.2012;4;T3b;ypT3b;Tumor invades seminal vesicle(s)
Prostate;22.12.2021;01.02.2021;08.04.2012;5;T4;ypT4;Tumor is fixed or invades adjacent structures other than seminal vesicles such as external sphincter, rectum, bladder, levator muscles, and/or pelvic wall
Prostate;22.12.2021;01.02.2021;08.04.2012;1;NX;cNX;Regional lymph nodes cannot be assessed
Prostate;22.12.2021;01.02.2021;08.04.2012;2;N0;cN0;No positive regional nodes
Prostate;22.12.2021;01.02.2021;08.04.2012;3;N1;cN1;Metastases in regional node(s)
Prostate;22.12.2021;01.02.2021;08.04.2012;1;NX;pNX;Regional lymph nodes cannot be assessed
Prostate;22.12.2021;01.02.2021;08.04.2012;2;N0;pN0;No positive regional nodes
Prostate;22.12.2021;01.02.2021;08.04.2012;3;N1;pN1;Metastases in regional node(s)
Prostate;22.12.2021;01.02.2021;08.04.2012;4;NX;cNX;Regional lymph nodes cannot be assessed
Prostate;22.12.2021;01.02.2021;08.04.2012;5;N0;cN0;No positive regional nodes
Prostate;22.12.2021;01.02.2021;08.04.2012;6;N1;cN1;Metastases in regional node(s)
Prostate;22.12.2021;01.02.2021;08.04.2012;1;NX;ycNX;Regional lymph nodes cannot be assessed
Prostate;22.12.2021;01.02.2021;08.04.2012;2;N0;ycN0;No positive regional nodes
Prostate;22.12.2021;01.02.2021;08.04.2012;3;N1;ycN1;Metastases in regional node(s)
Prostate;22.12.2021;01.02.2021;08.04.2012;1;NX;ypNX;Regional lymph nodes cannot be assessed
Prostate;22.12.2021;01.02.2021;08.04.2012;2;N0;ypN0;No positive regional nodes
Prostate;22.12.2021;01.02.2021;08.04.2012;3;N1;ypN1;Metastases in regional node(s)
Prostate;22.12.2021;01.02.2021;08.04.2012;1;M0;cM0;No distant metastasis
Prostate;22.12.2021;01.02.2021;08.04.2012;2;M1;cM1;Distant metastasis
Prostate;22.12.2021;01.02.2021;08.04.2012;3;M1a;cM1a;Nonregional lymph node(s)
Prostate;22.12.2021;01.02.2021;08.04.2012;4;M1b;cM1b;Bone(s)
Prostate;22.12.2021;01.02.2021;08.04.2012;5;M1c;cM1c;Other site(s) with or without bone disease
Prostate;22.12.2021;01.02.2021;08.04.2012;6;M1;pM1;Microscopic evidence of distant metastasis
Prostate;22.12.2021;01.02.2021;08.04.2012;7;M1a;pM1a;Microscopic evidence of nonregional lymph node(s)
Prostate;22.12.2021;01.02.2021;08.04.2012;8;M1b;pM1b;Microscopic evidence of bone(s)
Prostate;22.12.2021;01.02.2021;08.04.2012;9;M1c;pM1c;Microscopic evidence of other site(s) with or without bone disease
Prostate;22.12.2021;01.02.2021;08.04.2012;1;M0;cM0;No distant metastasis
Prostate;22.12.2021;01.02.2021;08.04.2012;2;M1;cM1;Distant metastasis
Prostate;22.12.2021;01.02.2021;08.04.2012;3;M1a;cM1a;Nonregional lymph node(s)
Prostate;22.12.2021;01.02.2021;08.04.2012;4;M1b;cM1b;Bone(s)
Prostate;22.12.2021;01.02.2021;08.04.2012;5;M1c;cM1c;Other site(s) with or without bone disease
Prostate;22.12.2021;01.02.2021;08.04.2012;6;M1;pM1;Microscopic evidence of distant metastasis
Prostate;22.12.2021;01.02.2021;08.04.2012;7;M1a;pM1a;Microscopic evidence of nonregional lymph node(s)
Prostate;22.12.2021;01.02.2021;08.04.2012;8;M1b;pM1b;Microscopic evidence of bone(s)
Prostate;22.12.2021;01.02.2021;08.04.2012;9;M1c;pM1c;Microscopic evidence of other site(s) with or without bone disease
Prostate;22.12.2021;01.02.2021;08.04.2012;1;M0;cM0;No distant metastasis
Prostate;22.12.2021;01.02.2021;08.04.2012;2;M1;cM1;Distant metastasis
Prostate;22.12.2021;01.02.2021;08.04.2012;3;M1a;cM1a;Nonregional lymph node(s)
Prostate;22.12.2021;01.02.2021;08.04.2012;4;M1b;cM1b;Bone(s)
Prostate;22.12.2021;01.02.2021;08.04.2012;5;M1c;cM1c;Other site(s) with or without bone disease
Prostate;22.12.2021;01.02.2021;08.04.2012;6;M1;pM1;Microscopic evidence of distant metastasis
Prostate;22.12.2021;01.02.2021;08.04.2012;7;M1a;pM1a;Microscopic evidence of nonregional lymph node(s)
Prostate;22.12.2021;01.02.2021;08.04.2012;8;M1b;pM1b;Microscopic evidence of bone(s)
Prostate;22.12.2021;01.02.2021;08.04.2012;9;M1c;pM1c;Microscopic evidence of other site(s) with or without bone disease
Prostate;22.12.2021;01.02.2021;08.04.2012;1;M0;cM0;No distant metastasis
Prostate;22.12.2021;01.02.2021;08.04.2012;2;M1;cM1;Distant metastasis
Prostate;22.12.2021;01.02.2021;08.04.2012;3;M1a;cM1a;Nonregional lymph node(s)
Prostate;22.12.2021;01.02.2021;08.04.2012;4;M1b;cM1b;Bone(s)
Prostate;22.12.2021;01.02.2021;08.04.2012;5;M1c;cM1c;Other site(s) with or without bone disease
Prostate;22.12.2021;01.02.2021;08.04.2012;6;M1;pM1;Microscopic evidence of distant metastasis
Prostate;22.12.2021;01.02.2021;08.04.2012;7;M1a;pM1a;Microscopic evidence of nonregional lymph node(s)
Prostate;22.12.2021;01.02.2021;08.04.2012;8;M1b;pM1b;Microscopic evidence of bone(s)
Prostate;22.12.2021;01.02.2021;08.04.2012;9;M1c;pM1c;Microscopic evidence of other site(s) with or without bone disease
